Items,Description,Real Price,% Discount,Discounted Price,Images
SATIN EFFECT MINI DRESS,Sleeveless V-neck mini dress. Tied opening at chest. Side hidden in-seam zip closure.,$ 45.90,-34%,$ 29.99,"['https://static.zara.net/assets/public/1a86/989a/a1474d36bab3/ed132d53c8eb/07200302250-p/07200302250-p.jpg?ts=1707928805306&w=477', 'https://static.zara.net/assets/public/95d2/d81f/34d94f038a68/d9ae7f2c279b/07200302250-a1/07200302250-a1.jpg?ts=1707928794257&w=477', 'https://static.zara.net/assets/public/a076/63d7/529b45149f9b/c9ef91316693/1654256307396/1654256307396.jpg?ts=1704450591955&w=151', 'https://static.zara.net/assets/public/9205/dec2/06f64d5685b2/1d203be3f188/20110674999-e1/20110674999-e1.jpg?ts=1709215869786&w=151', 'https://static.zara.net/assets/public/fa8c/3b62/26774a86a772/f3569695896f/02678800832-e1/02678800832-e1.jpg?ts=1707299709794&w=151', 'https://static.zara.net/assets/public/8c00/e0c9/9ead4c0e9e02/73e32acc8dff/02678801832-e1/02678801832-e1.jpg?ts=1707299712158&w=151', 'https://static.zara.net/assets/public/5057/7875/9474432d9f25/7d2743902a7d/03152306700-e1/03152306700-e1.jpg?ts=1704711636206&w=151', 'https://static.zara.net/assets/public/c97c/d16d/55ff48eb9550/19bce0ec9b5a/07200304712-e1/07200304712-e1.jpg?ts=1711040459215&w=151']"
SATIN EFFECT MIDI DRESS ZW COLLECTION,"ZARA WOMAN COLLECTION

Satin effect midi dress made of 100% viscose. Sleeveless design with V-neckline. Smocked elastic and pleat detail.",$ 129.00,-45%,$ 69.99,"['https://static.zara.net/assets/public/dfd8/19a4/b40c48f19ba8/0f984d4a2418/06895069403-p/06895069403-p.jpg?ts=1715255932828&w=477', 'https://static.zara.net/assets/public/f187/adc4/e5704341801c/2749d1fae95b/06895069403-a1/06895069403-a1.jpg?ts=1715255946409&w=477', 'https://static.zara.net/assets/public/c2be/2a40/d6b042d7a027/39fc326f06dd/14301310129-e1/14301310129-e1.jpg?ts=1713282934430&w=151', 'https://static.zara.net/assets/public/f70d/daf4/a72c43c698ed/21fe6e79d71d/01355802800-e1/01355802800-e1.jpg?ts=1708531688540&w=151', 'https://static.zara.net/assets/public/eeb4/a19c/15464d029e07/1d7706eda865/01355812800-e1/01355812800-e1.jpg?ts=1708531689904&w=151', 'https://static.zara.net/assets/public/560a/7d38/669641fa859c/e85427c1e125/01223916942-e1/01223916942-e1.jpg?ts=1716472143934&w=151', 'https://static.zara.net/assets/public/cc98/b86b/98db4a1aa0f9/4a7b68040f2d/24770701431-e1/24770701431-e1.jpg?ts=1711454441303&w=151', 'https://static.zara.net/assets/public/d538/6c0f/fb504d28bb43/4be9863a2330/1685544907397/1685544907397.jpg?ts=1703141123867&w=151']"
MOCK NECK MIDI DRESS,Sleeveless mock neck midi dress.,$ 35.90,-44%,$ 19.99,"['https://static.zara.net/assets/public/6f99/a865/009048ec9b72/c7918045283b/05039173800-p/05039173800-p.jpg?ts=1709634040496&w=477', 'https://static.zara.net/assets/public/3bef/547a/61594ca9b79b/ffe1dd6a6018/05039173800-a1/05039173800-a1.jpg?ts=1709634037563&w=477', 'https://static.zara.net/assets/public/f70d/daf4/a72c43c698ed/21fe6e79d71d/01355802800-e1/01355802800-e1.jpg?ts=1708531688540&w=151', 'https://static.zara.net/assets/public/eeb4/a19c/15464d029e07/1d7706eda865/01355812800-e1/01355812800-e1.jpg?ts=1708531689904&w=151', 'https://static.zara.net/assets/public/560a/7d38/669641fa859c/e85427c1e125/01223916942-e1/01223916942-e1.jpg?ts=1716472143934&w=151', 'https://static.zara.net/assets/public/5176/0c72/6a174b3487de/c4d250cb1a75/24390205807-e1/24390205807-e1.jpg?ts=1712659087647&w=151', 'https://static.zara.net/assets/public/e37a/c6de/6a8344a083bc/c7035b2d2528/4000.jpg?ts=1691502195375&w=151', 'https://static.zara.net/assets/public/b2a3/5c66/5d9446479432/633554819d1c/05644333800-e1/05644333800-e1.jpg?ts=1709301335223&w=151']"
OFF THE SHOULDER DRESS,"Fitted dress with straight neck, exposed shoulders, and short sleeves. Combination voluminous tonal poplin fabric.",$ 35.90,-44%,$ 19.99,"['https://static.zara.net/assets/public/a990/6706/55ac476ab411/4e2328fa0479/04174340671-p/04174340671-p.jpg?ts=1710930756707&w=477', 'https://static.zara.net/assets/public/9604/9b25/39c640a3b064/5c0e53809a51/04174340671-a1/04174340671-a1.jpg?ts=1710930763067&w=477', 'https://static.zara.net/assets/public/ec73/e8a7/56124e9f8cba/81899d2e2e8b/13303310700-e1/13303310700-e1.jpg?ts=1709746880789&w=151', 'https://static.zara.net/assets/public/a076/63d7/529b45149f9b/c9ef91316693/1654256307396/1654256307396.jpg?ts=1704450591955&w=151', 'https://static.zara.net/assets/public/e37a/c6de/6a8344a083bc/c7035b2d2528/4000.jpg?ts=1691502195375&w=151', 'https://static.zara.net/assets/public/5998/7baa/ea294713ba78/0835ed846af6/01918800406-e1/01918800406-e1.jpg?ts=1709907069386&w=151', 'https://static.zara.net/assets/public/10a3/38d7/b11e4dc48411/18cd2795e8d5/04174340250-e1/04174340250-e1.jpg?ts=1710868150510&w=151', 'https://static.zara.net/assets/public/8a61/4c2e/6f294b3fb305/ce59cf21031a/03905157500-e1/03905157500-e1.jpg?ts=1706693383863&w=151']"
TAILORED SQUARE NECK DRESS,Tailored midi dress made with cotton blend fabric. Square neck and long sleeves.,$ 35.90,-44%,$ 19.99,"['https://static.zara.net/assets/public/1f61/7495/077542c2a814/0963551692d0/02335636800-p/02335636800-p.jpg?ts=1706878485818&w=477', 'https://static.zara.net/assets/public/46f7/b69d/c24e46599da7/540c8caeef85/02335636800-a1/02335636800-a1.jpg?ts=1706878483088&w=477', 'https://static.zara.net/assets/public/bfc9/c13f/93ae4bd29d27/8a981f2e1523/1647533495562/1647533495562.jpg?ts=1704305034057&w=151', 'https://static.zara.net/assets/public/e37a/c6de/6a8344a083bc/c7035b2d2528/4000.jpg?ts=1691502195375&w=151', 'https://static.zara.net/assets/public/fa8c/3b62/26774a86a772/f3569695896f/02678800832-e1/02678800832-e1.jpg?ts=1707299709794&w=151', 'https://static.zara.net/assets/public/8c00/e0c9/9ead4c0e9e02/73e32acc8dff/02678801832-e1/02678801832-e1.jpg?ts=1707299712158&w=151', 'https://static.zara.net/assets/public/f045/b8b4/58d44af5a3c2/0b92247b90e6/01044156800-e1/01044156800-e1.jpg?ts=1706798722815&w=151', 'https://static.zara.net/assets/public/1b52/cd57/07f14c7887c8/babb6a1a7853/00858024800-e1/00858024800-e1.jpg?ts=1706785903494&w=151']"
LITTLE BOW TEXTURED DRESS,V-neck mini dress with contrast spaghetti straps. Elastic trim and little bow appliqué. Tonal interior lining.,$ 49.90,-39%,$ 29.99,"['https://static.zara.net/assets/public/b11a/7e32/8f3749f09c13/8d93724001b8/07200304712-p/07200304712-p.jpg?ts=1711118917435&w=477', 'https://static.zara.net/assets/public/75b3/889b/b4e44f1eb297/9551cb28f43c/07200304712-a1/07200304712-a1.jpg?ts=1711118909321&w=477', 'https://static.zara.net/assets/public/d886/3986/a24e4551aaf1/046f8234785d/13334310800-e1/13334310800-e1.jpg?ts=1711536014895&w=151', 'https://static.zara.net/assets/public/fe65/10ed/cdca449f90f4/65dc3bd5687e/1670244181378/1670244181378.jpg?ts=1701065353789&w=151', 'https://static.zara.net/assets/public/3146/4201/188844e0915f/1956c11a0f3a/4000.jpg?ts=1692891229409&w=151', 'https://static.zara.net/assets/public/2f1e/f8cc/107f455ea776/13a0b35def63/01355823800-e1/01355823800-e1.jpg?ts=1708074182243&w=151', 'https://static.zara.net/assets/public/a810/1d70/fc8e45caa82e/0fbcc15d4d8b/07200304800-e1/07200304800-e1.jpg?ts=1711040463681&w=151', 'https://static.zara.net/assets/public/2a96/c396/27e2432f91c1/3a24e1cbe2f6/07200302250-e1/07200302250-e1.jpg?ts=1707900988716&w=151']"
PRINTED RAMIE TUNIC DRESS ZW COLLECTION,"ZARA WOMAN COLLECTION

Tunic dress made of 100% ramie. V-neckline and long balloon sleeves with elastic cuffs.",$ 129.00,-45%,$ 69.99,"['https://static.zara.net/assets/public/0468/7095/b74b4970809c/075313a38de4/03474181330-p/03474181330-p.jpg?ts=1715804533147&w=477', 'https://static.zara.net/assets/public/8858/7ad0/2bf341438279/7fc88f374af0/03474181330-e1/03474181330-e1.jpg?ts=1715598778066&w=477', 'https://static.zara.net/assets/public/f253/28d0/45d64511a327/acdce1ae36c7/12000310800-e1/12000310800-e1.jpg?ts=1714043392732&w=151', 'https://static.zara.net/assets/public/5176/0c72/6a174b3487de/c4d250cb1a75/24390205807-e1/24390205807-e1.jpg?ts=1712659087647&w=151', 'https://static.zara.net/assets/public/34db/42d8/b55e48528afa/11b27301fb43/4000.jpg?ts=1692891220406&w=151', 'https://static.zara.net/assets/public/fa8c/3b62/26774a86a772/f3569695896f/02678800832-e1/02678800832-e1.jpg?ts=1707299709794&w=151', 'https://static.zara.net/assets/public/8c00/e0c9/9ead4c0e9e02/73e32acc8dff/02678801832-e1/02678801832-e1.jpg?ts=1707299712158&w=151', 'https://static.zara.net/assets/public/93f4/f127/aac341f2a5e2/080c8c52c055/03349187330-e1/03349187330-e1.jpg?ts=1715598778570&w=151']"
DRAPED SHEATH DRESS ZW COLLECTION,"ZARA WOMAN COLLECTION

Midi dress made of wool blend fabric. Sleeveless design and fluid high collar. Side draped fabric detail. Back slit. Hidden zip closure.

A midi dress with a minimalist cut with a side draped detail, made in a delicate wool blend fabric with a pleasant feel. Its refined design highlights a high collar that opens to a back V-neckline. A simple garment that is sophisticated at the same time.",$ 129.00,-45%,$ 69.99,"['https://static.zara.net/assets/public/efc5/2bb5/5ef54c0ebe25/035122832f90/02513750500-p/02513750500-p.jpg?ts=1707133448078&w=477', 'https://static.zara.net/assets/public/1ad5/527e/c0b546a9bcc1/96a3a24ba401/02513750500-a1/02513750500-a1.jpg?ts=1707133447740&w=477', 'https://static.zara.net/assets/public/f70d/daf4/a72c43c698ed/21fe6e79d71d/01355802800-e1/01355802800-e1.jpg?ts=1708531688540&w=151', 'https://static.zara.net/assets/public/eeb4/a19c/15464d029e07/1d7706eda865/01355812800-e1/01355812800-e1.jpg?ts=1708531689904&w=151', 'https://static.zara.net/assets/public/560a/7d38/669641fa859c/e85427c1e125/01223916942-e1/01223916942-e1.jpg?ts=1716472143934&w=151', 'https://static.zara.net/assets/public/ace8/93c2/67b4446692fe/4220ddc689df/1638466168656/1638466168656.jpg?ts=1701714850327&w=151', 'https://static.zara.net/assets/public/7926/7013/6c9344348c47/2bb66c40eb2d/4000.jpg?ts=1691502728491&w=151', 'https://static.zara.net/assets/public/ec38/a830/59bd4033ae53/87f450fad9d5/02244188446-e1/02244188446-e1.jpg?ts=1706635594947&w=151']"
TAILORED MINI DRESS,Sleeveless fitted mini dress with round neckline.,$ 27.90,-35%,$ 17.99,"['https://static.zara.net/assets/public/b830/5b30/945c48b4a29a/711fd82451a3/05644333800-p/05644333800-p.jpg?ts=1709229122898&w=477', 'https://static.zara.net/assets/public/e444/5161/24ab4b53a13b/e30fcbd8bc10/05644333800-a1/05644333800-a1.jpg?ts=1709229121781&w=477', 'https://static.zara.net/assets/public/7914/416c/04094ccaa44f/a20a70d88e85/15702310001-020-e1/15702310001-020-e1.jpg?ts=1707467965103&w=151', 'https://static.zara.net/assets/public/6c2a/a6a6/bc024d9fbb89/175bcd5eaa83/00653003712-e1/00653003712-e1.jpg?ts=1706199375405&w=151', 'https://static.zara.net/assets/public/bfc9/c13f/93ae4bd29d27/8a981f2e1523/1647533495562/1647533495562.jpg?ts=1704305034057&w=151', 'https://static.zara.net/assets/public/3146/4201/188844e0915f/1956c11a0f3a/4000.jpg?ts=1692891229409&w=151', 'https://static.zara.net/assets/public/6d09/b68b/75994ce0a0a3/13d40e94e9f7/01228817800-e1/01228817800-e1.jpg?ts=1710774138206&w=151', 'https://static.zara.net/assets/public/8e1d/5eac/4e75470cb169/0331a55d5616/01228818800-e1/01228818800-e1.jpg?ts=1710774136027&w=151']"
SHORT SOFT DRESS,Dress made of soft fabric. Tonal rib elastic round neck and short sleeves. Pronounced front seam detail.,$ 29.90,-39%,$ 17.99,"['https://static.zara.net/photos///2023/I/0/1/p/5039/410/803/12/w/477/5039410803_1_1_1.jpg?ts=1701944589921', 'https://static.zara.net/assets/public/ab26/63fc/10ba4414ac75/9efc3f147e78/05039410803-010-p/05039410803-010-p.jpg?ts=1701963876058&w=477', 'https://static.zara.net/assets/public/5176/0c72/6a174b3487de/c4d250cb1a75/24390205807-e1/24390205807-e1.jpg?ts=1712659087647&w=151', 'https://static.zara.net/assets/public/7926/7013/6c9344348c47/2bb66c40eb2d/4000.jpg?ts=1691502728491&w=151', 'https://static.zara.net/assets/public/e4c7/3d31/f1644943a2a3/f1b2cb4f5690/01758816800-e1/01758816800-e1.jpg?ts=1709736490622&w=151', 'https://static.zara.net/assets/public/320e/08f0/799c45639c2b/4e9e844e3582/01758817800-e1/01758817800-e1.jpg?ts=1709736492184&w=151', 'https://static.zara.net/photos///2023/I/0/1/p/5039/410/720/2/w/151/5039410720_6_1_1.jpg?ts=1695194073347', 'https://static.zara.net/assets/public/1974/d427/a8aa44b0b3b6/46d9356227de/05039410982-e1/05039410982-e1.jpg?ts=1704711645468&w=151']"
RUCHED LONG POLYAMIDE JUMPSUIT,Long jumpsuit made from polyamide. Strapless straight neckline with ruching detail.,$ 35.90,-44%,$ 19.99,"['https://static.zara.net/assets/public/b90e/cd4d/12cb4a38b5b7/70b91fab819d/05039338800-p/05039338800-p.jpg?ts=1708619672551&w=477', 'https://static.zara.net/assets/public/b571/6134/2222404db757/97220fc5cfa2/05039338800-a1/05039338800-a1.jpg?ts=1708619670973&w=477', 'https://static.zara.net/assets/public/d7d5/1c49/f4384a3d9286/a5008c9c4fef/1681309783688/1681309783688.jpg?ts=1701729339524&w=151', 'https://static.zara.net/assets/public/0be4/6adb/0b1e436a8c28/713d57ddcbfa/1679046850763/1679046850763.jpg?ts=1703643807487&w=151', 'https://static.zara.net/assets/public/e4c7/3d31/f1644943a2a3/f1b2cb4f5690/01758816800-e1/01758816800-e1.jpg?ts=1709736490622&w=151', 'https://static.zara.net/assets/public/320e/08f0/799c45639c2b/4e9e844e3582/01758817800-e1/01758817800-e1.jpg?ts=1709736492184&w=151', 'https://static.zara.net/assets/public/1b52/cd57/07f14c7887c8/babb6a1a7853/00858024800-e1/00858024800-e1.jpg?ts=1706785903494&w=151', 'https://static.zara.net/assets/public/8f65/c903/af7d4e7884da/c6183dd9e985/03905168800-e1/03905168800-e1.jpg?ts=1715176594134&w=151']"
SATIN EFFECT SLIP DRESS,Round neck mini dress with spaghetti straps. Floral appliqué at chest and side vents. Back hidden in-seam zip closure.,$ 45.90,-34%,$ 29.99,"['https://static.zara.net/assets/public/5057/7875/9474432d9f25/7d2743902a7d/03152306700-e1/03152306700-e1.jpg?ts=1704711636206&w=477', 'https://static.zara.net/assets/public/cb44/5fb1/dc83405e863f/78761d89e97d/03152306700-e2/03152306700-e2.jpg?ts=1704711639866&w=477', 'https://static.zara.net/assets/public/cc98/b86b/98db4a1aa0f9/4a7b68040f2d/24770701431-e1/24770701431-e1.jpg?ts=1711454441303&w=151', 'https://static.zara.net/assets/public/34db/42d8/b55e48528afa/11b27301fb43/4000.jpg?ts=1692891220406&w=151', 'https://static.zara.net/assets/public/fa8c/3b62/26774a86a772/f3569695896f/02678800832-e1/02678800832-e1.jpg?ts=1707299709794&w=151', 'https://static.zara.net/assets/public/8c00/e0c9/9ead4c0e9e02/73e32acc8dff/02678801832-e1/02678801832-e1.jpg?ts=1707299712158&w=151', 'https://static.zara.net/assets/public/1b52/cd57/07f14c7887c8/babb6a1a7853/00858024800-e1/00858024800-e1.jpg?ts=1706785903494&w=151', 'https://static.zara.net/assets/public/2a96/c396/27e2432f91c1/3a24e1cbe2f6/07200302250-e1/07200302250-e1.jpg?ts=1707900988716&w=151']"
SHORT TEXTURED DRESS,Mini dress made of textured fabric. High collar and long sleeves.,$ 35.90,-44%,$ 19.99,"['https://static.zara.net/assets/public/19d8/b084/a1f7421987a3/709c37d81b24/05039302800-p/05039302800-p.jpg?ts=1706530477708&w=477', 'https://static.zara.net/assets/public/4e7d/bfef/36b740169b07/820bf6066115/05039302800-a1/05039302800-a1.jpg?ts=1706530464198&w=477', 'https://static.zara.net/assets/public/79c6/757e/b7bd412fac46/3443e9dac3dc/13072210700-e1/13072210700-e1.jpg?ts=1704790976672&w=151', 'https://static.zara.net/assets/public/ace8/93c2/67b4446692fe/4220ddc689df/1638466168656/1638466168656.jpg?ts=1701714850327&w=151', 'https://static.zara.net/assets/public/7926/7013/6c9344348c47/2bb66c40eb2d/4000.jpg?ts=1691502728491&w=151', 'https://static.zara.net/assets/public/4874/949b/8d6747c7bbce/7381558b4674/01355101830-e1/01355101830-e1.jpg?ts=1709736492479&w=151', 'https://static.zara.net/assets/public/43d4/dbe9/db2c41908cac/34da51fcdd35/02214777800-e1/02214777800-e1.jpg?ts=1704711626508&w=151', 'https://static.zara.net/assets/public/1b52/cd57/07f14c7887c8/babb6a1a7853/00858024800-e1/00858024800-e1.jpg?ts=1706785903494&w=151']"
PRINTED STRAPPY DRESS ZW COLLECTION,"ZARA WOMAN COLLECTION

Midi dress made of viscose and 30% cotton blend fabric. Straight neckline and spaghetti straps. Side hidden in-seam zip closure.",$ 69.90,-28%,$ 49.99,"['https://static.zara.net/assets/public/c759/c283/7cea4da99abf/146d45be1437/02183065679-p/02183065679-p.jpg?ts=1716455086627&w=477', 'https://static.zara.net/assets/public/2524/8cf6/f20d4a8c83ef/7bb5dc4788f1/02183065679-a1/02183065679-a1.jpg?ts=1716455091267&w=477', 'https://static.zara.net/assets/public/7102/0618/9a7e41feba91/0fdc8c1bf84d/11667310700-e1/11667310700-e1.jpg?ts=1712671377095&w=151', 'https://static.zara.net/assets/public/1896/a959/5b574d5ca360/cf05eb0bde7a/24400479184-e1/24400479184-e1.jpg?ts=1712138289019&w=151', 'https://static.zara.net/assets/public/34db/42d8/b55e48528afa/11b27301fb43/4000.jpg?ts=1692891220406&w=151', 'https://static.zara.net/assets/public/8549/4b9f/20774a29855a/7510c5e37b14/01758818811-e1/01758818811-e1.jpg?ts=1709113165863&w=151', 'https://static.zara.net/assets/public/7248/fd7e/c34f436e8767/76634e83dd94/02335636800-e1/02335636800-e1.jpg?ts=1706798749781&w=151', 'https://static.zara.net/assets/public/9eba/d66a/456a4a88b1c1/bcc93585f0f2/05039302800-e1/05039302800-e1.jpg?ts=1706260157481&w=151']"
PRINTED SHORT DRESS ZW COLLECTION,"ZARA WOMAN COLLECTION

Mini dress made of 100% cotton. Round neck and short sleeves. Swing skirt. Front button closure.",$ 49.90,-27%,$ 35.99,"['https://static.zara.net/assets/public/0551/29bf/1d9c4d11810a/b411f5ed186c/02183015037-p/02183015037-p.jpg?ts=1718208473867&w=477', 'https://static.zara.net/assets/public/ec33/663f/c230454aa055/e692e22b6ea7/02183015037-a1/02183015037-a1.jpg?ts=1718208472614&w=477', 'https://static.zara.net/assets/public/7102/0618/9a7e41feba91/0fdc8c1bf84d/11667310700-e1/11667310700-e1.jpg?ts=1712671377095&w=151', 'https://static.zara.net/assets/public/a076/63d7/529b45149f9b/c9ef91316693/1654256307396/1654256307396.jpg?ts=1704450591955&w=151', 'https://static.zara.net/assets/public/39a0/17d9/7aa64149a314/af59d059c293/1679046747330/1679046747330.jpg?ts=1702177306882&w=151', 'https://static.zara.net/assets/public/0f07/6a1f/204844b0b2ae/aa0b70d65248/01228816406-e1/01228816406-e1.jpg?ts=1707930148997&w=151', 'https://static.zara.net/assets/public/34e2/b2c9/0ce1498db8c3/64741e195d44/02183015080-e1/02183015080-e1.jpg?ts=1718285334160&w=151', 'https://static.zara.net/assets/public/7466/1bf3/61eb4e5aaab2/9038fe520e25/08342311600-e1/08342311600-e1.jpg?ts=1712317558480&w=151']"
CONTRASTING TOPSTITCHING POPLIN DRESS,Short dress with V-neck lapel collar and short sleeves. Front pockets. Contrast topstitching.,$ 49.90,-27%,$ 35.99,"['https://static.zara.net/assets/public/1186/e2c3/473d4a6b8c95/8b6d23fbede2/09878084401-p/09878084401-p.jpg?ts=1708602354018&w=477', 'https://static.zara.net/assets/public/ac5e/cb87/d7604410adf7/8fe3fdc98ace/09878084401-a1/09878084401-a1.jpg?ts=1708602345712&w=477', 'https://static.zara.net/assets/public/b553/ffcd/4f4644f09f42/d403c51c2f6d/15702310800-001-e1/15702310800-001-e1.jpg?ts=1707475626465&w=151', 'https://static.zara.net/photos///2023/I/0/1/p/3739/237/800/2/w/151/3739237800_6_1_1.jpg?ts=1693568694043', 'https://static.zara.net/assets/public/bfc9/c13f/93ae4bd29d27/8a981f2e1523/1647533495562/1647533495562.jpg?ts=1704305034057&w=151', 'https://static.zara.net/assets/public/34db/42d8/b55e48528afa/11b27301fb43/4000.jpg?ts=1692891220406&w=151', 'https://static.zara.net/assets/public/fa8c/3b62/26774a86a772/f3569695896f/02678800832-e1/02678800832-e1.jpg?ts=1707299709794&w=151', 'https://static.zara.net/assets/public/8c00/e0c9/9ead4c0e9e02/73e32acc8dff/02678801832-e1/02678801832-e1.jpg?ts=1707299712158&w=151']"
TEXTURED JACQUARD DRESS,Sleeveless mini dress with round neckline. Textured fabric detail. Waist with frayed edge. Back hidden in-seam zip closure.,$ 39.90,-42%,$ 22.99,"['https://static.zara.net/assets/public/3c1a/1215/0d6248aaad5c/328fae597c34/05039170251-p/05039170251-p.jpg?ts=1708964717289&w=477', 'https://static.zara.net/assets/public/116c/bf5a/f07f46eab813/58828e5761e3/05039170251-a1/05039170251-a1.jpg?ts=1708964700382&w=477', 'https://static.zara.net/assets/public/b4b1/8051/17ff4dbe8398/167c45a33a7d/13303310800-e1/13303310800-e1.jpg?ts=1706713136758&w=151', 'https://static.zara.net/assets/public/5a3a/4b8a/928a47f3a4fa/27f8a15b8139/24400478666-e1/24400478666-e1.jpg?ts=1711379552387&w=151', 'https://static.zara.net/assets/public/0be4/6adb/0b1e436a8c28/713d57ddcbfa/1679046850763/1679046850763.jpg?ts=1703643807487&w=151', 'https://static.zara.net/assets/public/fa8c/3b62/26774a86a772/f3569695896f/02678800832-e1/02678800832-e1.jpg?ts=1707299709794&w=151', 'https://static.zara.net/assets/public/8c00/e0c9/9ead4c0e9e02/73e32acc8dff/02678801832-e1/02678801832-e1.jpg?ts=1707299712158&w=151', 'https://static.zara.net/assets/public/2a96/c396/27e2432f91c1/3a24e1cbe2f6/07200302250-e1/07200302250-e1.jpg?ts=1707900988716&w=151']"
STRAPLESS PRINTED TULLE DRESS,Strapless midi dress with underwire and sweetheart neckline. Ruched fabric. Tonal interior lining. Side hidden in-seam zip closure.,$ 59.90,-33%,$ 39.99,"['https://static.zara.net/assets/public/a611/46d1/fa23401ba765/12aff0cf632a/04661339049-p/04661339049-p.jpg?ts=1709830511338&w=477', 'https://static.zara.net/assets/public/e4d9/61d6/db5c4730b67e/acc75f2189a9/04661339049-a1/04661339049-a1.jpg?ts=1709830497671&w=477', 'https://static.zara.net/assets/public/ec73/e8a7/56124e9f8cba/81899d2e2e8b/13303310700-e1/13303310700-e1.jpg?ts=1709746880789&w=151', 'https://static.zara.net/assets/public/ace8/93c2/67b4446692fe/4220ddc689df/1638466168656/1638466168656.jpg?ts=1701714850327&w=151', 'https://static.zara.net/assets/public/9205/dec2/06f64d5685b2/1d203be3f188/20110674999-e1/20110674999-e1.jpg?ts=1709215869786&w=151', 'https://static.zara.net/assets/public/e4c7/3d31/f1644943a2a3/f1b2cb4f5690/01758816800-e1/01758816800-e1.jpg?ts=1709736490622&w=151', 'https://static.zara.net/assets/public/320e/08f0/799c45639c2b/4e9e844e3582/01758817800-e1/01758817800-e1.jpg?ts=1709736492184&w=151', 'https://static.zara.net/assets/public/2a96/c396/27e2432f91c1/3a24e1cbe2f6/07200302250-e1/07200302250-e1.jpg?ts=1707900988716&w=151']"
FITTED CUT OUT DRESS,V-neck mini dress with opening detail and straps. Tonal interior lining. Back hidden in-seam zip closure.,$ 45.90,-34%,$ 29.99,"['https://static.zara.net/assets/public/a092/adc2/a883495cafaa/d8f1161577b1/03067346250-p/03067346250-p.jpg?ts=1714493967084&w=477', 'https://static.zara.net/assets/public/62b5/8a15/b6d642e0b7da/0b3c7fc85559/03067346250-a1/03067346250-a1.jpg?ts=1714493969572&w=477', 'https://static.zara.net/assets/public/37ba/cf92/ea4b41da8f1f/c119670bf7a5/11346310808-e1/11346310808-e1.jpg?ts=1715268299165&w=151', 'https://static.zara.net/assets/public/1896/a959/5b574d5ca360/cf05eb0bde7a/24400479184-e1/24400479184-e1.jpg?ts=1712138289019&w=151', 'https://static.zara.net/assets/public/9205/dec2/06f64d5685b2/1d203be3f188/20110674999-e1/20110674999-e1.jpg?ts=1709215869786&w=151', 'https://static.zara.net/assets/public/7792/113f/a5a24cebac30/048f6f938b4b/01228806942-e1/01228806942-e1.jpg?ts=1712135152856&w=151', 'https://static.zara.net/assets/public/2a96/c396/27e2432f91c1/3a24e1cbe2f6/07200302250-e1/07200302250-e1.jpg?ts=1707900988716&w=151', 'https://static.zara.net/assets/public/60eb/9dbb/75d1492fa470/c990e3985c1c/03641337250-e1/03641337250-e1.jpg?ts=1713263851457&w=151']"
DRAPED OPEN BACK DRESS,Dress made of knit fabric. Squared neckline and wide straps. Ruched fabric. Open back with strap and metal buckle. Hidden in-seam zip closure.,$ 49.90,-39%,$ 29.99,"['https://static.zara.net/assets/public/5f2e/001a/b9e74de4824c/6a1082a17642/04661341305-p/04661341305-p.jpg?ts=1709202326196&w=477', 'https://static.zara.net/assets/public/d9b7/382b/15404cfe8cc0/93118f400c25/04661341305-a1/04661341305-a1.jpg?ts=1709202329232&w=477', 'https://static.zara.net/assets/public/0eb6/921f/b04c4cabb7df/ef46264ea6b1/01355802942-e1/01355802942-e1.jpg?ts=1708531694864&w=151', 'https://static.zara.net/assets/public/adc3/9106/caeb409189f7/7944b102738d/01355812942-e1/01355812942-e1.jpg?ts=1708531689949&w=151', 'https://static.zara.net/assets/public/b4cc/a077/f5354c4ea94a/07d68f83e211/01223916613-e1/01223916613-e1.jpg?ts=1712322188062&w=151', 'https://static.zara.net/assets/public/ace8/93c2/67b4446692fe/4220ddc689df/1638466168656/1638466168656.jpg?ts=1701714850327&w=151', 'https://static.zara.net/assets/public/3146/4201/188844e0915f/1956c11a0f3a/4000.jpg?ts=1692891229409&w=151', 'https://static.zara.net/assets/public/3705/25c5/b7734ba885d5/638e6a193497/03067346250-e1/03067346250-e1.jpg?ts=1713453068895&w=151']"
